EC,LITERATURE,PubMedID
1.1.1.1,735498,24509923
1.1.1.1,719428,20049620
1.1.1.1,697839,19588068
1.1.1.1,285586,1935957
1.1.1.1,684583,18456852
1.1.1.1,285608,7876099
1.1.1.1,762802,31006524
1.1.1.1,742472,29022135
1.1.1.1,728012,16233615
1.1.1.1,285604,3816781
1.1.1.1,285602,3178842
1.1.1.1,718681,22805786
1.1.1.1,285566,2936344
1.1.1.1,735486,23354700
1.1.1.1,681763,11265460
1.1.1.1,678116,8555238
1.1.1.1,678121,10074357
1.1.1.1,285648,9059637
1.1.1.1,285650,8730210
1.1.1.1,285615,2789998
1.1.1.1,285571,6375718
1.1.1.1,285569,6397223
1.1.1.1,735548,26329849
1.1.1.1,744545,20632378
1.1.1.1,746361,28201792
1.1.1.1,745695,29697194
1.1.1.1,723979,23686507
1.1.1.1,654370,15369820
1.1.1.1,285647,8532667
1.1.1.1,285621,3115775
1.1.1.1,285597,20851
1.1.1.1,285573,836289
1.1.1.1,760252,N/A
1.1.1.1,722888,22584819
1.1.1.1,686626,18189118
1.1.1.1,742936,26216639
1.1.1.1,285579,7011375
1.1.1.1,735841,24885162
1.1.1.1,735360,24100328
1.1.1.1,763285,32967812
1.1.1.1,763448,19383697
1.1.1.1,721388,22249723
1.1.1.1,736412,23525111
1.1.1.1,285568,6342669
1.1.1.1,737865,25082080
1.1.1.1,739927,28265724
1.1.1.1,285656,8365416
1.1.1.1,684620,17989975
1.1.1.1,655197,11964133
1.1.1.1,762739,28320283
1.1.1.1,655479,15096205
1.1.1.1,285567,236461
1.1.1.1,762242,30252897
1.1.1.1,668532,17072683
1.1.1.1,699019,19034537
1.1.1.1,721911,23160740
1.1.1.1,657302,15152088
1.1.1.1,736309,25314615
1.1.1.1,722012,21329683
1.1.1.1,285594,7041828
1.1.1.10,656049,11882650
1.1.1.10,722271,21477590
1.1.1.10,721689,23506391
1.1.1.10,684552,17261518
1.1.1.10,657322,15103634
1.1.1.10,655222,12604240
1.1.1.100,763418,29739899
1.1.1.100,762566,29717709
1.1.1.100,654432,12646215
1.1.1.100,667708,17059223
1.1.1.100,667646,16342966
1.1.1.100,740558,23300157
1.1.1.100,739901,23913421
1.1.1.100,668574,16934037
1.1.1.100,667520,16225460
1.1.1.100,704337,18201766
1.1.1.100,706639,17879351
1.1.1.101,285690,2335525
1.1.1.102,667831,16431155
1.1.1.103,762551,31457655
1.1.1.103,762728,28992410
1.1.1.103,688343,17188300
1.1.1.103,669546,16233775
1.1.1.103,285713,3536927
1.1.1.103,721272,21073854
1.1.1.103,738933,26492815
1.1.1.103,738606,24558034
1.1.1.103,285716,6780553
1.1.1.103,687461,18390572
