EntryID	Substrate	Product	EnzymeType	PubMedID	Organism	UniprotID	ECNumber	pH	Temperature	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
47489	Holo-[acyl-carrier protein];ATP;Alanine	AMP;Alanyl-[acyl-carrier protein];Diphosphate	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	Km	Holo-[acyl-carrier protein]	4.7E-6		5E-7	M
47489	Holo-[acyl-carrier protein];ATP;Alanine	AMP;Alanyl-[acyl-carrier protein];Diphosphate	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	kcat/Km	Holo-[acyl-carrier protein]	68000.0		7E3	M^(-1)*s^(-1)
47489	Holo-[acyl-carrier protein];ATP;Alanine	AMP;Alanyl-[acyl-carrier protein];Diphosphate	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	kcat		0.31		1E-2	s^(-1)
47489	Holo-[acyl-carrier protein];ATP;Alanine	AMP;Alanyl-[acyl-carrier protein];Diphosphate	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	concentration	Alanine	2.0E-4		-	M
47489	Holo-[acyl-carrier protein];ATP;Alanine	AMP;Alanyl-[acyl-carrier protein];Diphosphate	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	concentration	ATP	0.004		-	M
47490	Holo-[acyl-carrier protein];Alanine;ATP	Diphosphate;AMP;Alanyl-[acyl-carrier protein]	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	concentration	ATP	0.004		-	M
47490	Holo-[acyl-carrier protein];Alanine;ATP	Diphosphate;AMP;Alanyl-[acyl-carrier protein]	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	concentration	Alanine	2.0E-4		-	M
47490	Holo-[acyl-carrier protein];Alanine;ATP	Diphosphate;AMP;Alanyl-[acyl-carrier protein]	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	kcat/Km	Holo-[acyl-carrier protein]	11.0		2E-1	M^(-1)*s^(-1)
47491	Holo-[acyl-carrier protein];Alanine;ATP	Diphosphate;Alanyl-[acyl-carrier protein];AMP	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	kcat/Km	Holo-[acyl-carrier protein]	16.5		6E-1	M^(-1)*s^(-1)
47491	Holo-[acyl-carrier protein];Alanine;ATP	Diphosphate;Alanyl-[acyl-carrier protein];AMP	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	concentration	ATP	0.004		-	M
47491	Holo-[acyl-carrier protein];Alanine;ATP	Diphosphate;Alanyl-[acyl-carrier protein];AMP	wildtype Atu2573 His-tagged	20663952	Agrobacterium tumefaciens	Q7CWR3	6.2.1.n2	7.5	30.0	concentration	Alanine	2.0E-4		-	M
47492	Holo-[acyl-carrier protein];ATP;Glycine	Glycyl-[acyl-carrier protein];AMP;Diphosphate	wildtype Bll0957 His-tagged	20663952	Bradyrhizobium diazoefficiens	Q89VT8	6.2.1.n2	7.5	30.0	concentration	Glycine	2.0E-4		-	M
47492	Holo-[acyl-carrier protein];ATP;Glycine	Glycyl-[acyl-carrier protein];AMP;Diphosphate	wildtype Bll0957 His-tagged	20663952	Bradyrhizobium diazoefficiens	Q89VT8	6.2.1.n2	7.5	30.0	Km	Holo-[acyl-carrier protein]	1.19E-6		4E-8	M
47492	Holo-[acyl-carrier protein];ATP;Glycine	Glycyl-[acyl-carrier protein];AMP;Diphosphate	wildtype Bll0957 His-tagged	20663952	Bradyrhizobium diazoefficiens	Q89VT8	6.2.1.n2	7.5	30.0	kcat		0.11		2E-2	s^(-1)
47492	Holo-[acyl-carrier protein];ATP;Glycine	Glycyl-[acyl-carrier protein];AMP;Diphosphate	wildtype Bll0957 His-tagged	20663952	Bradyrhizobium diazoefficiens	Q89VT8	6.2.1.n2	7.5	30.0	kcat/Km	Holo-[acyl-carrier protein]	91000.0		7E3	M^(-1)*s^(-1)
47492	Holo-[acyl-carrier protein];ATP;Glycine	Glycyl-[acyl-carrier protein];AMP;Diphosphate	wildtype Bll0957 His-tagged	20663952	Bradyrhizobium diazoefficiens	Q89VT8	6.2.1.n2	7.5	30.0	concentration	ATP	0.004		-	M
